time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,throttle_unsat,speed_error,speed_integral,saturation_active,qbar
0.8,1756.4385561109036,2250.0,29985.800581611384,30000.0,-0.011524891090392769,0.03446287021993849,0.022937979129545722,-0.006665470654699121,-0.01532549249449682,-0.00966123497230481,-0.016233314790993103,0.62,1.0616298770558252,493.5614438890964,0.0,1.0,29354.05919240615
0.84,1756.7608532022862,2250.0,29984.985853201684,30000.0,-0.011666156675250255,0.03433470664715129,0.02266854997190104,-0.006803405975283227,-0.01574031751345432,-0.009630993517937723,-0.016643515846143882,0.62,1.061210890837028,493.23914679771383,0.0,1.0,29368.155823120807
0.88,1757.0831903949468,2250.0,29984.16104034239,30000.0,-0.011807649203505624,0.034201615300670285,0.022393966097164666,-0.006923195482734011,-0.01615340192206495,-0.00958391535328128,-0.017050437029147342,0.62,1.0607918524865692,492.91680960505323,0.0,1.0,29382.299740045353
0.92,1757.4055680293507,2250.0,29983.326123168215,30000.0,-0.011949376043286589,0.03406433012230047,0.02211495407901389,-0.007024808355032017,-0.016564033420533662,-0.009520459835180349,-0.017453411596973712,0.62,1.0603727615618441,492.59443197064934,0.0,1.0,29396.49109745455
0.96,1757.727986385225,2250.0,29982.481081333794,30000.0,-0.012091343215972874,0.03392358410834616,0.02183224089237329,-0.007108255255471786,-0.01697152002614268,-0.009441107616191309,-0.017851793181964455,0.62,1.0599536176992075,492.272013614775,0.0,1.0,29410.730049948215
1.0,1758.0504456819206,2250.0,29981.625894107892,30000.0,-0.012233555401356238,0.033780107669885776,0.02154655226852954,-0.00717358759729499,-0.017375190505691987,-0.009346342122279448,-0.018244956894094895,0.62,1.0595344206135031,491.94955431807944,0.0,1.0,29425.016752081985
1.04,1758.3729460789657,2250.0,29980.760540467247,30000.0,-0.012376015945569578,0.033634627026166916,0.02125861108059734,-0.007220896763726737,-0.017774394610555116,-0.009236653985341499,-0.018632300373788543,0.62,1.0591151700973445,491.6270539210343,0.0,1.0,29439.351358004766
1.08,1758.6954876767945,2250.0,29979.88499918982,30000.0,-0.012518726871750253,0.03348786263287222,0.020969135761121974,-0.007250313279896552,-0.01816850360159209,-0.00911254927363886,-0.019013244791939547,0.62,1.058695866020167,491.3045123232055,0.0,1.0,29453.734021103657
1.12,1759.0180705176308,2250.0,29978.99924894731,30000.0,-0.01266168889343299,0.0333405276473897,0.020678838753956718,-0.007262005925692682,-0.01855691105346306,-0.008974554863031763,-0.019387235789762577,0.62,1.05827650832708,490.9819294823692,0.0,1.0,29468.164893655587
1.16,1759.3406945865115,2250.0,29978.10326839671,30000.0,-0.012804901430647856,0.03319332643358692,0.02038842500293907,-0.007256180782186718,-0.018939033797987302,-0.008823220284368336,-0.019753744352538412,0.62,1.057857097037535,490.6593054134885,0.0,1.0,29482.644126486906
1.2,1759.6633598124324,2250.0,29977.197036270696,30000.0,-0.01294836262867146,0.03304695310875197,0.020098590480080523,-0.007233080209436548,-0.019314312886493,-0.00865911725473202,-0.020112267613737012,0.62,1.057437632243838,490.3366401875676,0.0,1.0,29497.171868640584
1.24,1759.9860660695974,2250.0,29976.280531466742,30000.0,-0.01309206937935918,0.03290209013535434,0.019810020755995174,-0.007192981757065006,-0.019682214503715902,-0.008482838125482948,-0.02046232958777739,0.62,1.0570181141095234,490.0139339304026,0.0,1.0,29511.748267050873
1.28,1760.308813178757,2250.0,29975.353733134663,30000.0,-0.013236017344974078,0.032759406960170406,0.01952338961519634,-0.007136197010792502,-0.020042230806302658,-0.008294993999739965,-0.020803481830670486,0.62,1.056598542867616,489.69118682124304,0.0,1.0,29526.373466226745
1.32,1760.6316009086186,2250.0,29974.416620762528,30000.0,-0.013380200984421328,0.032619558703169335,0.019239357718748018,-0.007063070378726401,-0.02039388068024404,-0.008096212846551872,-0.021135304028216246,0.62,1.0561789188187958,489.36839909138143,0.0,1.0,29541.047607943154
1.36,1760.954428977313,2250.0,29973.469174260685,30000.0,-0.013524613581792867,0.03248318489839587,0.01895857131660301,-0.0069739778213075065,-0.02073671041931248,-0.007887137696651836,-0.02145740451162801,0.62,1.055759242329493,489.045571022687,0.0,1.0,29555.770830940848
1.4000000000000001,1761.2772970539033,2250.0,29972.5113740438,30000.0,-0.013669247277123677,0.032350908288928004,0.018681661011804334,-0.006869325528758719,-0.02107029432769847,-0.007668424907731457,-0.021769420700557127,0.62,1.0553395138299255,488.72270294609666,0.0,1.0,29570.543270634917
1.44,1761.600204759923,2250.0,29971.543201110704,30000.0,-0.01381409309925809,0.03222333367783195,0.018409240578573866,-0.006749548549830301,-0.021394235249004547,-0.007440742467372459,-0.022071019473609375,0.62,1.0549197338121001,488.3997952400771,0.0,1.0,29585.36505883229
1.48,1761.9231516709285,2250.0,29970.56463712196,30000.0,-0.013959141000721537,0.032101046836882224,0.018141905836160696,-0.006615109375626845,-0.02170816502261727,-0.007204768310678497,-0.022361897466569036,0.62,1.0544999028277928,488.0768483290715,0.0,1.0,29600.236323458073
1.52,1762.2461373180574,2250.0,29969.57566447493,30000.0,-0.014104379894490262,0.03198461347466009,0.017880233580169838,-0.006466496482323003,-0.022011744867827525,-0.006961188642570633,-0.02264178129870149,0.62,1.0540800214865254,487.75386268194256,0.0,1.0,29615.157188291403
1.56,1762.569161189579,2250.0,29968.576266376298,30000.0,-0.01424979769254884,0.03187457826548792,0.017624780572939085,-0.006304222836609561,-0.022304665695872604,-0.00671069626370549,-0.02291042772765004,0.62,1.0536600904535471,487.43083881042094,0.0,1.0,29630.127772710686
1.6,1762.8922227324301,2250.0,29967.566426911842,30000.0,-0.014395381346122872,0.03177146394050021,0.017376082594377347,-0.00612882436774486,-0.02258664835013798,-0.006453988903159328,-0.02316762373360335,0.62,1.0532401104478408,487.1077772675699,0.0,1.0,29645.148191448578
