time,mach,altitude,velocity,qbar,alpha_rad,beta_rad,left_elevon,right_elevon,rudder,body_flap,clift,cdrag,cy,cl_roll,cm_pitch,cn_yaw,lift,drag,side_force,mx,my,mz,lift_to_drag
19.450000000000003,7.553259002292767,29904.143555336173,2228.211405676366,47779.3757954725,-0.0348034330407017,-0.04551962407327467,-0.013140916127871593,0.00234133838063613,-0.034569375420922796,-0.04351983406859451,0.02826296164675118,0.06845218562470173,0.005082288545306389,-0.0016223966070306522,0.07568393448654923,-0.014450392498232887,1620.463998735781,3924.7232411808773,291.3942891686631,-427.89437641492606,19961.043934270412,-3811.177649279604,0.41288618308999875
19.5,7.538863756306973,29898.251018442552,2223.964808110557,47636.40042914843,-0.03485166191879392,-0.04576337973196694,-0.01235376626132867,0.0016657434632154201,-0.034500884024970924,-0.04348442670506495,0.028426620083883535,0.06838368360374218,0.005132328789506667,-0.0011055629277876354,0.07568942138460102,-0.014461835414328474,1624.9702285957787,3909.0630419616655,293.38280322118345,-290.71101156897856,19902.75515100727,-3802.7820007103974,0.4156930218706138
19.55,7.52446602305404,29892.331309524117,2219.7174768009418,47493.65440805888,-0.034884819241938314,-0.04600300527670045,-0.011563648461862617,0.0009897483589398053,-0.03442610493840068,-0.04344422522753731,0.02861786325293517,0.06831411152524935,0.00518219150535002,-0.0005879144969367879,0.07568437588969688,-0.014471147917188232,1631.0002886783886,3893.3841647685417,295.3454549177667,-154.1305878232998,19841.792311123776,-3793.82809332895,0.41891583765029006
19.6,7.510066723983983,29886.384607651613,2215.469683575275,47351.14717572226,-0.034902900235537625,-0.04623847908143243,-0.010770752551474368,0.00031351547238161136,-0.034345051789493604,-0.04339923406818379,0.028836684719116577,0.06824347377178032,0.005231871573603412,-6.957280159643848e-05,0.07566879939260836,-0.014478330955040229,1638.540122633748,3877.688124420134,297.2821450634073,-18.184822862367962,19778.184600705797,-3784.322001108307,0.4225559328288615
19.650000000000002,7.495666780647026,29880.411092712322,2211.221700290873,47208.888139768096,-0.034905902295960044,-0.046469779894811825,-0.009975269019592585,-0.0003627927347608232,-0.03425773934996172,-0.04334945818723411,0.02908307408036328,0.06817177486177269,0.0052813638395695734,0.00044934045474214705,0.07564269477327552,-0.014483385818367465,1647.5755092245506,3861.976432486658,299.1927776731874,117.0950052205619,19711.961489104862,-3774.2698662339612,0.4266145943733028
19.700000000000003,7.48126711463463,29874.410945404612,2206.9737988172155,47066.886671366214,-0.03489382499091404,-0.04669688684209721,-0.00917738897730956,-0.0010390137826937523,-0.03416418353225549,-0.043294903072428746,0.02935701696740728,0.06809901944925517,0.005330663113674503,0.0009687033811984023,0.07560606640017611,-0.014486314139438093,1658.0920687372,3846.2505970191078,301.07725998546,251.67806448091022,19643.152717265326,-3763.6778964948194,0.43109309362791964
19.75,7.466868647520503,29868.38434723248,2202.7262510185483,46925.15210466464,-0.034866670059510683,-0.046919779427040745,-0.008377304111467762,-0.0017149852125629339,-0.03406440138666372,-0.04323557473841386,0.029658495044418066,0.06802521232354092,0.005379764172067599,0.0014883939285356175,0.07555892012948015,-0.014487117891777458,1670.075269385712,3830.5121222811176,302.93550247379676,385.53397541482644,19571.788286069146,-3752.5523626768586,0.43599268611403363
19.8,7.452472300801626,29862.331480500063,2198.4793287364796,46783.6937362376,-0.03482444141201315,-0.04713843753373798,-0.007575206638607646,-0.0023905446254838957,-0.03395841109820626,-0.043171479726078134,0.029987486010213973,0.06795035840890275,0.005428661757234273,0.0020082899182369634,0.07550126330399023,-0.014485799389582187,1683.510433705872,3814.7625084836195,304.76741885768837,518.632816985412,19497.89844470328,-3740.8995959606837,0.44131461131903404
19.85,7.438078995839274,29856.25252830612,2194.2333037725857,46642.52082454351,-0.03476714512927372,-0.047352841428443135,-0.006771289258789096,-0.003065529721557026,-0.03384623198331981,-0.043102625101831805,0.030343963600042108,0.06787446276423083,0.00547735057862098,0.0025282690716165474,0.075433104751868,-0.014482361287076327,1698.382744936985,3799.0032515224075,306.5729261119854,650.945132382541,19421.51367905434,-3728.725985324032,0.4470600924746188
19.900000000000002,7.423689653800053,29850.147674538486,2189.9884478710155,46501.64258939307,-0.034694789461858125,-0.04756297176135026,-0.005965745109295798,-0.003739778338859647,-0.03372788448633755,-0.04302901845682742,0.0307278975879291,0.06779753058267285,0.005525825313272668,0.0030482090389597296,0.07535445478514648,-0.014476806577809795,1714.6772533888227,3783.2358427186787,308.3519444750719,782.4419345163939,19342.664700134785,-3716.037974950312,0.4532303363241122
19.950000000000003,7.409305195596941,29844.01710386853,2185.7450327010974,46361.06821142688,-0.03460738482885741,-0.047768809568339454,-0.005158767718235026,-0.0044131284924045664,-0.033603390175763255,-0.042950667906123036,0.031139253789600568,0.06771956719125638,0.005574080606482408,0.0035679874286848002,0.07526532519802909,-0.014469138593899181,1732.3788827911258,3767.4617685625713,310.1043974557471,913.0947112444081,19261.382432545008,-3702.8420616441667,0.45982653287868497
20.0,7.394926541830356,29837.86100174554,2181.503329839955,46220.80683160386,-0.03450494381638772,-0.04797033627268831,-0.004350550958043496,-0.005085418413056149,-0.03347277174034041,-0.04286758208778752,0.03157799406596967,0.06764057805049366,0.005622111072453258,0.004087481836519367,0.07516572926497529,-0.014459361005211105,1751.4724366232606,3751.6825104598697,311.8302118388199,1042.8754303318499,19177.698002976067,-3689.144792255189,0.46684985516233635
20.05,7.380554612729227,29831.679554391136,2177.263610755122,46080.86755069954,-0.03438748117577781,-0.04816753368674859,-0.0035412889989102545,-0.005756486586394725,-0.03333605298491734,-0.042779770161948186,0.03204407632719457,0.06756056875396901,0.005669911294972185,0.004606569874684607,0.0750556817385735,-0.01444747781848834,1771.9426044215516,3735.8995444818916,313.5293176893943,1171.7565441462796,19091.642728757102,-3674.9527611107774,0.4743014589454897
20.1,7.366190328092113,29825.472948793635,2173.0261467871733,45941.25942881476,-0.03425501382144497,-0.048360384013587526,-0.002731176262128507,-0.0064261717915194295,-0.033193258826108796,-0.042687241809780896,0.032537454537303744,0.06747954502790848,0.005717475828095962,0.005125129201079916,0.0749351988472012,-0.01443349337641879,1793.7739680618445,3720.1143411186367,315.20164835584086,1299.7109940861958,19003.24810645178,-3660.2726074591455,0.48218248246704626
