time,mx_cmd,my_cmd,mz_cmd,mx_achieved,my_achieved,mz_achieved,mx_residual,my_residual,mz_residual,residual_norm,left_elevon,right_elevon,rudder,body_flap,left_elevon_target,right_elevon_target,rudder_target,body_flap_target,left_elevon_rate,right_elevon_rate,rudder_rate,body_flap_rate,saturated,rate_limited
3.88,2518.1422494521944,1894.912454927811,1437.8849985869776,2517.5816505906682,1893.8619226212058,1437.2248610182835,0.5605988615261595,1.0505323066051915,0.6601375686941537,1.3614958025521338,0.019940546442572007,-0.08717461406533344,0.06441924776669929,-0.07246966574587527,0.019940546442572007,-0.08717461406533344,0.06441924776669929,-0.07246966574587527,0.003137180859202199,-0.004666597207777373,0.020508547899549673,-0.0005684074361043956,0.0,0.0
3.9,2522.4854383934085,1895.6351474166677,1446.7090430063631,2521.924330502047,1894.5841676429534,1446.0441141217534,0.5611078913616439,1.050979773714289,0.6649288846097079,1.364379335849513,0.020001686542505066,-0.08726439206023431,0.06482824049671208,-0.07247888506131943,0.020001686542505066,-0.08726439206023431,0.06482824049671208,-0.07247888506131943,0.0030570049966529775,-0.004488899745043462,0.020449636500639856,-0.0004609657722080829,0.0,0.0
3.92,2526.711988057402,1896.3025633189475,1455.5024751163783,2526.1503997917775,1895.2511665660725,1454.832764468229,0.561588265624323,1.0513967528750072,0.6697106481492483,1.3672340195765795,0.02006121943110719,-0.08735061161511351,0.06523604670996884,-0.0724859550958915,0.02006121943110719,-0.08735061161511351,0.06523604670996884,-0.0724859550958915,0.0029766444301061734,-0.004310977743959832,0.020390310662837807,-0.0003535017286032671,0.0,0.0
3.94,2530.8217030092715,1896.914683172851,1464.2651088483274,2530.2596630632825,1895.8628999403286,1463.590626082498,0.5620399459889995,1.051783232522439,0.6744827658294525,1.3700598054477828,0.020119141507663467,-0.08743326838911758,0.0656426581336397,-0.07249087546565465,0.020119141507663467,-0.08743326838911758,0.0656426581336397,-0.07249087546565465,0.0028961038278138562,-0.004132838700203478,0.020330571183543172,-0.00024601848815780647,0.0,0.0
3.96,2534.814393216531,1897.4714891290057,1472.9967587852086,2534.251930321012,1896.4193499270289,1472.317513641048,0.56246289551882,1.0521392019768427,0.6792451441606318,1.37285664766489,0.02017544926501017,-0.08751235819151296,0.06604806651100117,-0.07249364585034476,0.02017544926501017,-0.08751235819151296,0.06604806651100117,-0.07249364585034476,0.002815387867335234,-0.003954490119768839,0.02027041886807357,-0.000138519234505613,0.0,0.0
3.98,2538.6898740578954,1897.9729649509902,1481.6972401656342,2538.127016979236,1896.9205002995502,1481.0132424759865,0.5628570786593627,1.0524646514400047,0.6839976896476401,1.3756245028971357,0.02023013928971587,-0.08758787698188639,0.06645226360159447,-0.07249426599338392,0.02023013928971587,-0.08758787698188639,0.06645226360159447,-0.07249426599338392,0.0027345012352849446,-0.0037759395186715006,0.02020985452966459,-3.1007151957834767e-05,0.0,0.0
4.0,2542.447966331822,1898.4190960158044,1490.3663688877434,2541.884743870571,1897.366336443803,1489.677628578952,0.5632224612509162,1.0527595720013778,0.6887403087914663,1.378363330276973,0.02028320826225777,-0.08765982087033818,0.06685524118138422,-0.0724927357018918,0.02028320826225777,-0.08765982087033818,0.06685524118138422,-0.0724927357018918,0.002653448627095052,-0.0035971944225894614,0.020148878989487834,7.651457460608468e-05,0.0,0.0
4.0200000000000005,2546.0884962647933,1898.8098693142986,1499.0039615130959,2545.524937254275,1897.7568453586669,1498.3104886050041,0.5635590105184747,1.0530239556317156,0.693472908091735,1.3810730913778733,0.020334652957193187,-0.08772818611766964,0.06725699104291706,-0.07248905484669564,0.020334652957193187,-0.08772818611766964,0.06725699104291706,-0.07248905484669564,0.0025722347467707976,-0.0034182623665730827,0.0200874930766419,0.00018404275980779539,0.0,0.0
4.04,2549.6112955193544,1899.1452734515508,1507.6098352705528,2549.047428824268,1898.092015656359,1506.911639876505,0.5638666950862898,1.053257795191712,0.6981953940478434,1.383753750213261,0.02038447024332611,-0.08779296913556332,0.06765750499548033,-0.07248322336233762,0.02038447024332611,-0.08779296913556332,0.06765750499548033,-0.07248322336233762,0.002490864306646176,-0.0032391508946842673,0.020025697628163475,0.000291574217901186,0.0,0.0
4.0600000000000005,2553.016201201894,1899.4252986472,1516.1838080601485,2552.452055716927,1898.3718375627798,1515.4809003869887,0.5641454849669572,1.053461084420178,0.7029076731598707,1.3864052732095922,0.020432657083868752,-0.08785416648675735,0.06805677486526115,-0.07247524124708123,0.020432657083868752,-0.08785416648675735,0.06805677486526115,-0.07247524124708123,0.0024093420271320554,-0.0030598675597015568,0.019963493489041223,0.0003991057628195682,0.0,0.0
