time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,qbar
10.46,1914.79918272576,1783.472,29564.87012366846,29731.02857142857,-0.03049804858360106,0.09084617375439866,0.06034812517079758,0.007764183045493969,-0.051107259566349844,-0.004250436994491677,-0.05144476090250927,0.22490102529139727,36986.111755903454
10.48,1914.9719791315463,1783.536,29563.702206820875,29730.514285714286,-0.030502848614121177,0.09100630257905877,0.06050345396493757,0.0077686742811736605,-0.05119367250977921,-0.004248578340298631,-0.0515310206190519,0.22458828824746752,36998.78861259352
10.5,1915.144456457716,1783.6,29562.534004016365,29730.0,-0.03050748680590357,0.09116635863453493,0.06065887182863133,0.007773090004542544,-0.0512800472290432,-0.004246681773806246,-0.05161723909082274,0.22427652254629998,37011.45834861491
10.52,1915.3166155347587,1783.664,29561.365521612475,29729.485714285714,-0.03051196319107883,0.0913263404428651,0.06081437725178624,0.007777430231288651,-0.05136638295257917,-0.004244747241441813,-0.05170341554239564,0.22396572542682036,37024.12095653544
10.540000000000001,1915.4884571908713,1783.728,29560.19676596675,29728.97142857143,-0.03051627780304253,0.09148624652768014,0.06096996872463758,0.007781694978507114,-0.051452678907765524,-0.004242774692335311,-0.051789549197496745,0.22365589413518128,37036.77642882231
10.56,1915.659982251965,1783.792,29559.027743436673,29728.457142857143,-0.030520430676455202,0.09164607541423148,0.06112564473777624,0.0077858842646562985,-0.05153893432097645,-0.004240764078295167,-0.05187563927905733,0.22334702592473948,37049.42475784278
10.58,1915.8311915416741,1783.856,29557.858460379615,29727.942857142858,-0.03052442184724226,0.09180582562941784,0.06128140378217555,0.00778999810951477,-0.0516251484176361,-0.004238715353784111,-0.05196168500926588,0.223039118056036,37062.06593586451
10.6,1916.002085881365,1783.92,29556.688923152786,29727.428571428572,-0.030528251352593922,0.09196549570181121,0.06143724434921726,0.007794036534139122,-0.0517113204222723,-0.004236628475893972,-0.05204768560961917,0.2227321677967644,37074.699955056145
10.620000000000001,1916.172666090143,1783.984,29555.51913811317,29726.914285714287,-0.03053191923096512,0.09212508416168183,0.061593164930716676,0.0077979995608226495,-0.05179744955856964,-0.004234503404316081,-0.05213364030097387,0.22242617242175344,37087.32680748794
10.64,1916.342932984861,1784.048,29554.349111617485,29726.4,-0.03053542552207537,0.09228458954102241,0.061749164018947006,0.007801887213054881,-0.05188353504942209,-0.0042323401013175934,-0.05221954830359567,0.22212112921294258,37099.94648513208
10.66,1916.5128873801282,1784.112,29553.17885002212,29725.885714285716,-0.03053877026690865,0.09244401037357156,0.06190524010666288,0.00780569951548195,-0.051969576116985015,-0.0042301385317067165,-0.05230540883720976,0.22181703545935444,37112.55897986346
10.68,1916.6825300883177,1784.176,29552.00835968308,29725.371428571427,-0.03054195350771325,0.09260334519483636,0.06206139168712309,0.007809436493867828,-0.052055571982726506,-0.0042278986628067365,-0.05239122112104941,0.22151388845707448,37125.164283460006
10.700000000000001,1916.8518619195747,1784.24,29550.83764695594,29724.85714285714,-0.030544975288001607,0.09276259254211419,0.06221761725411256,0.007813098175056397,-0.052141521867478204,-0.004225620464424702,-0.05247698437390727,0.2212116855092281,37137.76238760328
10.72,1917.0208836818247,1784.304,29549.666718195786,29724.342857142856,-0.03054783565255014,0.09292175095451376,0.06237391530196359,0.007816684586934372,-0.05222742499148567,-0.0042233039088410045,-0.05256269781417797,0.22091042392595428,37150.35328387904
10.74,1917.1895961807809,1784.368,29548.49557975716,29723.82857142857,-0.03055053464739905,0.0930808189729754,0.06253028432557632,0.007820195758395066,-0.052313280574458054,-0.004220948970750985,-0.052648360659908744,0.22061010102438428,37162.9369637777
10.76,1917.358000219953,1784.432,29547.32423799401,29723.314285714285,-0.03055307231985211,0.09323979514029071,0.06268672282043856,0.007823631719303002,-0.052399087835616934,-0.004218555627245193,-0.05273397212884627,0.22031071412861997,37175.51341869492
10.78,1917.5260966006551,1784.496,29546.15269925963,29722.8,-0.03055544871847648,0.09339867800112132,0.06284322928264481,0.007826992500459356,-0.05248484599374481,-0.004216123857786451,-0.05281953143848132,0.22001226056970663,37188.08263993203
10.8,1917.6938861220133,1784.56,29544.980969906617,29722.285714285714,-0.030557663893102445,0.09355746610201715,0.06299980220891467,0.007830278133568238,-0.05257055426723291,-0.004213653644173143,-0.05290503780609417,0.21971473768561167,37200.64461869672
10.82,1917.8613695809734,1784.624,29543.809056286806,29721.77142857143,-0.0305597178948232,0.09371615799143382,0.06315644009661059,0.007833488651203802,-0.0526562118741283,-0.004211144970506317,-0.052990490448800054,0.2194181428212053,37213.19934610343
10.84,1918.0285477723096,1784.688,29542.636964751222,29721.257142857143,-0.030561610775994588,0.09387475221974954,0.06331314144375493,0.007836624086778187,-0.05274181803218043,-0.004208597823162765,-0.05307588858359198,0.21912247332823137,37225.7468131739
