time,theta,theta_ref,q,q_measured,moment,moment_cmd,moment_rate,eta,eta_dot,modal_energy,effectiveness,disturbance_moment,controller
6.83,0.05139598897385429,0.05235987755982989,0.04954335449141126,0.042561143933393275,-169.31076238966583,-568.1283152999141,-4696.146230323342,-0.00024247451823922054,-0.015516023462262179,0.00012225489658458614,0.9990301019270431,0.0,flex_sensor_pd
6.84,0.0518911637222519,0.05235987755982989,0.049490103628642354,0.04249206431710724,-216.172960811564,-614.0991823452532,-4686.219842189817,-0.0003978153664274028,-0.015551198470078029,0.00012598411303238322,0.9984087385342904,0.0,flex_sensor_pd
6.8500000000000005,0.052385761340141154,0.05235987755982989,0.049427934117133115,0.04241677412929244,-262.93042525793084,-659.9189581336029,-4675.746444636684,-0.0005534781843065793,-0.01558035552853483,0.00013117655841387877,0.9977860872627737,0.0,flex_sensor_pd
6.86,0.05287969281440049,0.05235987755982989,0.04935688079796565,0.042335468433699994,-309.5777086161552,-705.582209906557,-4664.728335822434,-0.0007094009865511413,-0.015603138587257011,0.0001378329591976058,0.9971623960537954,0.0,flex_sensor_pd
6.87,0.053372869485326095,0.05235987755982989,0.049276979511313185,0.0422483290067344,-356.10936546028597,-751.0833325265227,-4653.165684413079,-0.0008655183844020018,-0.015619223343508418,0.00014595197528681036,0.996537926462392,0.0,flex_sensor_pd
6.88,0.053865203056560035,0.05235987755982989,0.049188267084472645,0.04215552348277664,-402.5199315977992,-796.4165361724017,-4641.056613751322,-0.0010217619127236078,-0.01562831911488001,0.00015553009617962532,0.9959129523491056,0.0,flex_sensor_pd
6.890000000000001,0.0543566056049161,0.05235987755982989,0.049090781323350346,0.042057204622073165,-448.803904573886,-841.5758359253239,-4628.397297608677,-0.0011780603744708088,-0.01563017044728263,0.00016656155397429931,0.9952877585021168,0.0,flex_sensor_pd
6.9,0.05484698959013724,0.05235987755982989,0.04898456100728146,0.04195350970411447,-494.95572524283597,-886.5550432929729,-4615.1820668949995,-0.001334340199883171,-0.015624558451482213,0.00017903825401066847,0.9946626392004673,0.0,flex_sensor_pd
6.91,0.055336267864617365,0.05235987755982989,0.04886964588704698,0.041844560048519,-540.9697605089201,-931.3477597068546,-4601.403526608414,-0.0014905258176666,-0.015611301863395526,0.00019294972375521026,0.9940378967293336,0.0,flex_sensor_pd
6.92,0.05582435368311859,0.05235987755982989,0.048746076685935315,0.041730460664528124,-586.8402873311791,-975.9473720126123,-4587.052682225896,-0.0016465400353842402,-0.015590257825349306,0.00020828308035037295,0.993413839858463,0.0,flex_sensor_pd
