time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,throttle_unsat,speed_error,speed_integral,saturation_active,qbar
4.08,1782.9556957081877,2250.0,29884.79636114323,30000.0,-0.022966090211250394,0.04392109055977519,0.02095500034852478,0.005995176061187351,-0.02368719016331201,0.0004902448412810892,-0.023656404897495768,0.62,1.1949056281973072,467.0443042918123,1992.1880382652155,1.0,30674.379492477274
4.12,1783.2791064885328,2250.0,29883.15415550284,30000.0,-0.023086583908020278,0.044280599364870485,0.021194015456850193,0.005954168326943301,-0.023669931143322977,0.0003435476468719859,-0.023653443503099784,0.62,1.1960731448174509,466.72089351146724,2010.8568740056742,1.0,30692.50824384628
4.16,1783.6024914912848,2250.0,29881.503083413467,30000.0,-0.02320638191181153,0.04463760347247974,0.0214312215606682,0.005904768027433197,-0.023659098166500168,0.0001924348146597458,-0.02365728064452435,0.62,1.197239595351812,466.3975085087152,2029.5127743460228,1.0,30710.682620236228
4.2,1783.9258502986245,2250.0,29879.84319125838,30000.0,-0.02332548941934077,0.044991778420505696,0.021666289001164914,0.005847279587618002,-0.023654870303204328,3.7323187365639166e-05,-0.023668055776210537,0.62,1.1984049804312,466.0741497013755,2048.1557403340776,1.0,30728.90247885846
4.24,1784.2491825373388,2250.0,29878.17452505655,30000.0,-0.023443912209392116,0.04534281278990483,0.021898900580512703,0.005782021492340706,-0.023657408614883805,-0.00012136744972932663,-0.023685890175275913,0.62,1.199569300629856,465.7508174626612,2066.785773032584,1.0,30747.167679721406
4.28,1784.572487878677,2250.0,29876.49713042168,30000.0,-0.023561656617582756,0.04569040872261017,0.0221287521050274,0.005709325321564497,-0.023666856054542624,-0.0002832154047937869,-0.023710886938563554,0.62,1.2007325564654894,465.42751212132293,2085.402873517437,1.0,30765.478085805815
4.32,1784.8957660380577,2250.0,29874.811052523044,30000.0,-0.023678729510216084,0.046034282399612964,0.022355552889396873,0.005629534769075279,-0.0236833374115012,-0.00044779810491539854,-0.023743131022749633,0.62,1.2018947483995073,465.1042339619423,2104.0070428759145,1.0,30783.83356322779
4.36,1785.2190167746267,2250.0,29873.116336048177,30000.0,-0.02379513825729701,0.04637416447866715,0.022579026221370133,0.00554300464718204,-0.023706959299936693,-0.0006146931087482972,-0.023782689326788908,0.62,1.2030558768374382,464.78098322537335,2122.5982822049295,1.0,30802.233981389512
4.4,1785.5422398906699,2250.0,29871.41302516751,30000.0,-0.023910890704784978,0.04670980049118259,0.02279890978639761,0.005450099879947486,-0.023737810190593706,-0.0007834791041282128,-0.023829610815886172,0.62,1.2042159421295482,464.45776010933014,2141.1765926093026,1.0,30820.67921311707
4.44,1785.8654352308818,2250.0,29869.701163500948,30000.0,-0.024025995146160866,0.04704095119797512,0.02301495605181425,0.0053511944874743275,-0.023775960484962343,-0.0009537368884996419,-0.023883926686097724,0.62,1.2053749445716444,464.13456476911824,2159.7419752000674,1.0,30839.169134785647
