time,controller,downrange,altitude,velocity,gamma,gamma_rate_cmd,qbar,heat_rate,heat_load,load_factor,corridor_lower,corridor_upper,corridor_margin
32.300000000000004,1.0,101425.48822794623,43554.39370825061,3157.8908534138372,-0.10066244074427928,0.000544792580231578,14413.082493834507,172698.21012122155,3966811.1533334274,1.1703693322749265,37453.03103518054,60955.57097900441,6101.362673070071
32.4,1.0,101739.67728412799,43522.66805707726,3157.844301569456,-0.10060796148625613,0.0005417962210403044,14476.304756402355,173071.45892694712,3984118.299226122,1.1694073603132082,37452.10805180604,60955.54186628819,6070.560005271218
32.5,1.0,102053.86339755934,43490.95994655768,3157.797060561927,-0.10055378186415209,0.0005388163418245824,14539.76256570756,173445.18948096203,4001462.8181742183,1.1684506525486402,37451.17143452437,60955.51231283338,6039.788512033316
32.6,1.0,102368.04648912049,43459.26928932351,3157.749128312666,-0.10049990022996963,0.0005358528519445471,14603.45674653575,173819.40212793637,4018844.758387012,1.1674991802853913,37450.2211434551,60955.48231690923,6009.048145868408
32.7,1.0,102682.22647955095,43427.59599853512,3157.7005027331943,-0.10044631494477517,0.0005329056612588518,14667.388126142294,174194.09720701078,4036264.168107713,1.166552914983433,37449.25713854653,60955.45187677075,5978.338859988595
32.800000000000004,1.0,102996.4032894481,43395.93998787901,3157.6511817251226,-0.10039302437864929,0.0005299746801219284,14731.557534253738,174569.27505175283,4053721.095612888,1.1656118282576997,37448.27937957559,60955.42099065864,5947.660608303413
32.9,1.0,103310.5768392657,43364.30117156509,3157.601163180134,-0.10034002691063709,0.0005270598193812575,14795.965803069137,174944.93599011237,4071215.5892118993,1.1646758918772537,37447.28782614774,60955.38965679917,5917.013345417348
33.0,1.0,103624.74704931246,43332.67946432408,3157.550444979969,-0.10028732092869896,0.0005241609903746605,14860.613767261466,175321.08034437805,4088747.6972463373,1.1637450777644542,37446.28243769688,60955.35787340411,5886.397026627201
33.1,1.0,103938.91383975052,43301.07478140487,3157.499024996409,-0.10023490482966149,0.0005212781049275995,14925.502263978793,175697.70843113202,4106317.4680894506,1.1628193579941308,37445.263173485284,60955.325638670656,5855.8116079195825
33.2,1.0,104253.0771305941,43269.48703857188,3157.446901091259,-0.10018277701916874,0.000518411075350498,14990.632132845623,176074.82056120643,4123924.9501455715,1.1618987047927611,37444.22999260349,60955.29295078133,5825.257045968392
33.300000000000004,1.0,104567.23684170799,43237.916152102516,3157.3940711163323,-0.10013093591163369,0.0005155598144360703,15056.00421596402,176452.417039638,4141570.1918495353,1.1609830905376528,37443.18285397025,60955.259807903894,5794.733298132269
