time,east,north,altitude,velocity,gamma,heading,target_east,target_north,target_altitude,horizontal_range,range_to_target,altitude_error,gamma_rate_cmd,heading_rate_cmd,throttle_cmd,qbar,load_factor
8.6,14990.16256719103,880.898666773091,29733.18092100987,1744.5908480482124,-0.018012905807973066,0.11453559665276414,52000.0,14000.0,29000.0,39266.256335362865,39273.10072883674,-733.180921009869,-4.927199173103674e-05,0.012436667371970944,0.21852287987946908,29993.49711780687,2.423973906342708
8.65,15076.802648729592,890.892957295699,29731.60965488987,1744.5600355464685,-0.018015369407559618,0.11515743002136247,52000.0,14000.0,29000.0,39181.26070072199,39188.09057334983,-731.6096548898713,-4.9117408127714435e-05,0.012429877244820918,0.21859991113382876,29998.983658821104,2.422847333110374
8.700000000000001,15163.43496664115,900.9409289737106,29730.038201997508,1744.5292293494595,-0.018017825277966002,0.11577892388360356,52000.0,14000.0,29000.0,39096.264169394904,39103.0795178524,-730.0382019975077,-4.8963209403857405e-05,0.012423150153644258,0.21867692662635135,30004.472179944358,2.421731126158235
8.75,15250.059491404429,911.0425467816692,29728.466563007925,1744.498429440726,-0.018020273438436193,0.11640008139128577,52000.0,14000.0,29000.0,39011.266764839536,39018.067585810735,-728.4665630079253,-4.880939330060875e-05,0.012416486256390804,0.21875392639818472,30009.962678526677,2.4206253077974225
8.8,15336.676193523765,921.197775955293,29726.894738594576,1744.4676358038425,-0.018022713908101225,0.11702090570410517,52000.0,14000.0,29000.0,38926.268510534166,38933.05480071144,-726.8947385945758,-4.865595755636351e-05,0.012409885713081112,0.21883091049039366,30015.455151924147,2.4195299006831252
8.85,15423.28504352833,931.4065819921282,29725.322729429223,1744.436848422416,-0.018025146705979045,0.11764139998975942,52000.0,14000.0,29000.0,38841.26942997843,38848.04118606244,-725.3227294292228,-4.850289990663567e-05,0.01240334868582705,0.21890787894396,30020.94959749887,2.418444927818093
8.9,15509.88601197135,941.6689306522106,29723.750536181957,1744.406067280086,-0.018027571850974377,0.1182615674240508,52000.0,14000.0,29000.0,38756.269546694224,38763.02676539388,-723.7505361819567,-4.8350218083939053e-05,0.01239687533885277,0.21898483179978484,30026.446012618813,2.4173704125562083
8.950000000000001,15596.4790694293,951.9847879587347,29722.178159521198,1744.3752923605255,-0.018029989361878575,0.11888141119099327,52000.0,14000.0,29000.0,38671.26888422669,38678.0115622591,-722.1781595211978,-4.8197909817646216e-05,0.012390465838515632,0.21906176909868635,30031.944394657927,2.4163063786060497
9.0,15683.064186501126,962.35412019873,29720.605600113715,1744.3445236474395,-0.018032399257369457,0.11950093448291899,52000.0,14000.0,29000.0,38586.267466145204,38592.99560023569,-720.6056001137149,-4.804597283387113e-05,0.012384120353327777,0.2191386908814013,30037.444740996,2.4152528500345656
9.05,15769.641333807444,972.7768939237463,29719.032858624625,1744.3137611245656,-0.01803480155601115,0.12012014050058539,52000.0,14000.0,29000.0,38501.26531604437,38507.978902926385,-719.0328586246251,-4.789440485531721e-05,0.01237783905397773,0.21921559718858588,30042.94704901862,2.4142098512707544
9.1,15856.210481989747,983.2530759505463,29717.45993571741,1744.2830047756743,-0.018037196276253917,0.12073903245328443,52000.0,14000.0,29000.0,38416.26245754496,38422.961493960065,-717.4599357174084,-4.774320360115243e-05,0.01237162211335248,0.21929248806081433,30048.45131611724,2.4131774071094294
9.15,15942.771601709606,993.7826333618066,29715.886832053922,1744.252254584568,-0.018039583436433974,0.12135761355895225,52000.0,14000.0,29000.0,38331.258914295,38337.94339699286,-715.8868320539223,-4.75923667868792e-05,0.012365469706559653,0.21936936353858016,30053.95753968898,2.4121555427149945
9.200000000000001,16029.324663647873,1004.3655335068268,29714.313548294405,1744.221510535081,-0.01804196305477332,0.1219758870442802,52000.0,14000.0,29000.0,38246.25470997071,38252.92463570901,-714.3135482944053,-4.7441892124185264e-05,0.012359382010950205,0.21944622366229738,30059.46571713673,2.4111442836253176
9.25,16115.869638503867,1015.0017440022467,29712.740085097492,1744.1907726110805,-0.018044335149379528,0.12259385614482765,52000.0,14000.0,29000.0,38161.249868277555,38167.90523382202,-712.7400850974918,-4.729177732081154e-05,0.012353359206141208,0.21952306847229863,30064.975845868958,2.4101436557556113
9.3,16202.40649699458,1025.6912327327725,29711.166443120215,1744.1600407964652,-0.018046699738245568,0.1232115241051348,52000.0,14000.0,29000.0,38076.24441295128,38082.8852150756,-711.1664431202153,-4.7142020080397e-05,0.012347401474039087,0.21959989800883706,30070.487923299876,2.4091536854024005
9.35,16288.935209853858,1036.433967851911,29709.592623018027,1744.1293150751658,-0.018049056839249587,0.1238288941788368,52000.0,14000.0,29000.0,37991.238367758946,37997.86460324476,-709.5926230180266,-4.699261810235146e-05,0.012341508998863151,0.21967671231208555,30076.00194684917,2.4081743992475344
9.4,16375.4557478316,1047.2299177827117,29708.018625444798,1744.0985954311448,-0.018051406470154706,0.12444596962878007,52000.0,14000.0,29000.0,37906.23175649998,37912.84342213684,-708.0186254447981,-4.684356908169528e-05,0.01233568196716935,0.21975351142213811,30081.51791394221,2.4072058243622436
9.450000000000001,16461.968081692932,1058.0790512185192,29706.44445105284,1744.0678818483962,-0.01805374864860879,0.1250627537271387,52000.0,14000.0,29000.0,37821.22460300725,37827.821695592575,-706.444451052841,-4.669487070892873e-05,0.012329920567874589,0.2198302953790096,30087.035822009704,2.406247988211283
9.5,16548.472182217403,1068.9813371237333,29704.870100492906,1744.0371743109458,-0.018056083392144238,0.12567924975553257,52000.0,14000.0,29000.0,37736.21693114809,37742.79944748715,-704.8701004929062,-4.6546520669861824e-05,0.012324224992280988,0.21990706422263542,30092.555668487923,2.405300918657082
9.55,16634.968020198157,1079.9367447345774,29703.2955744142,1744.006472802851,-0.01805841071817773,0.12629546100514677,52000.0,14000.0,29000.0,37651.208764825424,37657.77670173131,-703.2955744141982,-4.639851664547173e-05,0.012318595434100821,0.21998381799287245,30098.077450818557,2.404364643963999
9.600000000000001,16721.455566441113,1090.9452435598773,29701.72087346439,1743.9757773082003,-0.018060730644010002,0.12691139077685198,52000.0,14000.0,29000.0,37566.200127978846,37572.75348227241,-701.72087346439,-4.625085631175495e-05,0.012313032089481743,0.22006055672949912,30103.60116644863,2.4034391928026304
9.65,16807.93479176414,1102.0068033818482,29700.145998289627,1743.9450878111138,-0.01806304318682559,0.12752704238132617,52000.0,14000.0,29000.0,37481.19104458572,37487.72981309556,-700.1459982896267,-4.610353733956081e-05,0.012307535157032099,0.22013728047221548,30109.126812830564,2.402524594254134
9.700000000000001,16894.40566699622,1113.1213942568904,29698.57094953454,1743.9144042957423,-0.018065348363692568,0.128142419139178,52000.0,14000.0,29000.0,37396.1815386623,37402.70571822472,-698.57094953454,-4.595655739444001e-05,0.012302104837846882,0.2202139892606442,30114.65438742204,2.4016208778146635
9.75,16980.868162976636,1124.2889865163957,29696.995727842255,1743.8837267462682,-0.01806764619156229,0.12875752438107035,52000.0,14000.0,29000.0,37311.1716342648,37317.68122172379,-696.9957278422553,-4.58099141364807e-05,0.012296741335533991,0.2202906831343296,30120.183887685984,2.400728073399863
9.8,17067.322250554123,1135.509550767561,29695.420333854407,1743.8530551469044,-0.018069936687269115,0.12937236144784725,52000.0,14000.0,29000.0,37226.16135549063,37232.65634769781,-695.4203338544066,-4.566360522015025e-05,0.012291444856240667,0.2203673621327391,30125.715311090607,2.399846211349376
9.850000000000001,17153.767900586026,1146.7830578942144,29693.84476821114,1743.822389481895,-0.01807221986753012,0.12998693369065917,52000.0,14000.0,29000.0,37141.150726479435,37147.631120294034,-693.84476821114,-4.5517628294121975e-05,0.012286215608680495,0.22044402629526247,30131.248655109193,2.39897532243147
9.9,17240.205083937475,1158.1094790576476,29692.269031551128,1743.7917297355148,-0.018074495748944826,0.13060124447109311,52000.0,14000.0,29000.0,37056.13977141434,37062.60556370316,-692.2690315511281,-4.5371981001111456e-05,0.012281053804160693,0.22052067566121308,30136.78391722027,2.3981154378477023
9.950000000000001,17326.633771480527,1169.4887856974601,29690.69312451158,1743.761075892069,-0.01807676434799488,0.13121529716130098,52000.0,14000.0,29000.0,36971.12851452303,36977.57970216041,-690.6931245115811,-4.522666097771183e-05,0.01227595965660981,0.22059731026982773,30142.321094907336,2.3972665892376557
10.0,17413.05393409332,1180.9209495324126,29689.117047728258,1743.7304279358934,-0.01807902568104377,0.13182909514413144,52000.0,14000.0,29000.0,36886.11698007903,36892.55355994681,-689.1170477282576,-4.5081665854220486e-05,0.012270933382605738,0.22067393016026643,30147.860185659025,2.396428808683735
10.05,17499.465542659236,1192.40594256129,29687.540801835472,1743.6997858513548,-0.018081279764336478,0.13244264181326182,52000.0,14000.0,29000.0,36801.10519240281,36807.52716139031,-687.5408018354719,-4.4936993254460035e-05,0.01226597520140422,0.22075053537161296,30153.401186968946,2.3956021287160425
10.100000000000001,17585.868568066027,1203.9437370637754,29685.96438746611,1743.66914962285,-0.0180835266139992,0.1330559405733318,52000.0,14000.0,29000.0,36716.093175863025,36722.500530867,-685.9643874661087,-4.4792640795608166e-05,0.012261085334967742,0.220827125942875,30158.944096335676,2.3947865823173258
10.15,17672.262981204967,1215.5343056013326,29684.387805251627,1743.6385192348057,-0.01808576624603898,0.1336689948400802,52000.0,14000.0,29000.0,36631.08095487775,36637.47369280235,-684.3878052516266,-4.46486060880053e-05,0.012256264007994603,0.22090370191298575,30164.48891126268,2.3939822029279556
