time,phi,theta,psi,phi_ref,theta_ref,psi_ref,p,q,r,mx,my,mz,mx_cmd,my_cmd,mz_cmd,mx_rate,my_rate,mz_rate
22.0,-0.09249609695460137,0.009960020728159488,0.06028165105047023,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08286106635678984,-0.050631390532965316,0.008861405641515779,2441.897798295631,240.54291428299962,837.5472921154987,1854.0444669636845,667.6159787830973,711.623519552264,-6428.142843700061,4750.158577486716,-1376.4431663536698
22.02,-0.09082361654740723,0.008969579017157496,0.06055357095408942,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08411737804377503,-0.050479658069352805,0.009147788802321,2311.8696932695707,335.00780599127313,809.6940357819317,1717.9219815583915,759.3560881423188,682.4254060732508,-6501.4052513030265,4723.244585413676,-1392.662816678353
22.04,-0.08912698187716339,0.007982572855810832,0.060829128230770024,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08530017649998188,-0.050291489698504326,0.00942506128683415,2180.493563677205,428.86999926003466,781.543308605158,1580.9793045982494,850.2050637220746,653.0502551775295,-6568.806479618274,4693.1096634380765,-1407.5363588386836
22.06,-0.0874076780072679,0.006999687622713111,0.061108065628952435,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.0864087995356265,-0.05006716150356987,0.00969309785106808,2047.886161644604,522.0656946708277,753.1217494241445,1443.3316380202164,940.1020738448981,623.5232860312526,-6630.370101630057,4659.784770539653,-1421.0779590506775
22.080000000000002,-0.08566720157973373,0.006021604145461597,0.06139012932763688,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.0874426500775432,-0.049806974830305,0.009951781558801923,1914.163896409327,614.5317492439985,724.4556830584315,1305.0942034637976,1028.987110748162,593.8692719720443,-6686.113261763853,4623.302728658541,-1433.3033182856468
22.1,-0.08390705952633004,0.0050489982697247415,0.06167506917939436,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08840119596679968,-0.04951125596914412,0.010201003791071786,1779.4429145224497,706.2057134829565,695.571091153093,1166.382152003026,1116.801026595194,564.1125184814183,-6736.049094343866,4583.698211947899,-1444.229595266927
22.12,-0.08212876778639933,0.004082540428773005,0.0619626389359591,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.08928396979025294,-0.04918035582073016,0.010440664246292735,1643.839142344081,797.0258681899114,666.4935846002275,1027.3104739348485,1203.4855691852022,534.2768428794458,-6780.188608918434,4541.0077353477445,-1453.8753276432772
22.14,-0.08033385003069027,0.003122895213781661,0.06225259645623593,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09009056872744789,-0.04881464954517718,0.010670670931183146,1507.4682991852028,886.9312610370143,637.2483775692148,887.9939088088597,1288.9834173382897,504.3855557538394,-6818.542157943909,4495.269642355146,-1462.2603515506341
22.16,-0.0785238363908567,0.002170720945233295,0.06254470389660494,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09082065439839086,-0.0484145361953541,0.010890940142672575,1370.445887641998,975.8617428751382,607.8602631735287,748.5468558540549,1373.2382159281226,474.4614441310534,-6851.120577160236,4446.524091906195,-1469.4057197843051
22.18,-0.07670026219453163,0.0012266692457653613,0.06283872788345812,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09147395270096853,-0.04798043833448886,0.011101396440984703,1232.8871662553095,1063.758003760393,578.3535907974343,609.0832849364299,1456.1946105341594,444.5267563921164,-6877.93606933443,4394.813044262736,-1475.3336188047172
22.2,-0.07486466670607905,0.0002913846148245408,0.06313443966794985,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09205025362932279,-0.047512801638404364,0.011301972614097619,1094.9071085221783,1150.5616086766606,548.7522451013361,469.71664816341604,1537.798281684261,414.603188931498,-6899.002886656558,4340.1802458133825,-1480.067284804909
22.22,-0.07301859187327198,-0.0006344959944954425,0.06343161526300367,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09254941106648538,-0.04701209448270871,0.011492609633794434,956.6203514213388,1236.215032930783,519.0796267200194,330.5597922367738,1617.9959786563545,384.71187455165654,-6914.337855041976,4282.671212706123,-1483.630919065837
22.240000000000002,-0.07116358108027088,-0.0015503435960424572,0.06373003556265466,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09297134254614271,-0.04647880751527397,0.011673256603527844,818.1411359376435,1320.6616971952772,489.35863466324776,191.72487164497807,1696.7355528080973,354.873372582466,-6923.960774184763,4222.333213224703,-1486.0496028385824
22.26,-0.06930117790735402,-0.00245553758821908,0.06402948644387108,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09331602897963272,-0.045913453214349115,0.011843870698332669,679.5832415408772,1403.8460021721362,459.6116504236998,53.32326277633911,1773.9659904005275,325.10766070870926,-6927.894719838315,4159.215248842952,-1487.349211977397
