time,controller,velocity,velocity_ref,velocity_ref_modified,altitude,altitude_ref,altitude_ref_modified,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,alpha_cmd,throttle_cmd,throttle_actual,throttle_rate,qbar,heat_proxy,inlet_margin,inlet_margin_active,propulsion_limit_active,alpha_limit_margin
1.6400000000000001,1.0,1702.5094665431673,1760.0,1625.0,29156.23123554993,30000.0,30350.0,-0.016636119807559295,0.11865709669020351,0.10202097688264423,0.04257274299037752,-0.039732215064018896,0.028017959466385144,-0.03729645043266868,0.1832595714594046,0.46084820434109514,0.46696820434109515,-0.007946216865185873,30947.091505280667,51920.21529106645,0.24214491503756103,1.0,1.0,0.0646024747692011
1.68,1.0,1702.8005765662149,1760.0,1625.0,29155.09851360524,30000.0,30350.0,-0.016628265717015787,0.12033037600902814,0.10370211029201237,0.041471359832962504,-0.03857806427900644,0.026059245701836223,-0.036329752701205836,0.1832595714594046,0.4605303556664877,0.4666503556664877,-0.007946216865185873,30962.54634297361,51950.939533644734,0.2325577307460433,1.0,1.0,0.06292919545037647
1.72,1.0,1703.0909169814292,1760.0,1625.0,29153.9662452203,30000.0,30350.0,-0.016617138388683447,0.12195470586774773,0.10533756747906431,0.04028956284288678,-0.03750885873282805,0.024074348696590895,-0.03544990366602317,0.1832595714594046,0.46021250699188027,0.4663325069918803,-0.007946216865185873,30977.97713928992,51981.605292694665,0.22325100620187194,1.0,1.0,0.061304865591656876
1.76,1.0,1703.380494834058,1760.0,1625.0,29152.834650524783,30000.0,30350.0,-0.01660284368678296,0.12352706354831565,0.10692421986153271,0.03903176819864383,-0.0365255845180999,0.022068640418524403,-0.03465738781490703,0.1832595714594046,0.45989465831727283,0.46601465831727285,-0.007946216865185873,30993.383174344297,52012.21233110218,0.21424206030371984,1.0,1.0,0.05973250791108896
1.8,1.0,1703.6693187167537,1760.0,1625.0,29151.703942350963,30000.0,30350.0,-0.016585493007402773,0.12504461064873046,0.1084591176413277,0.03770249702477886,-0.03562899785843368,0.02004744586307153,-0.03395246549293519,0.1832595714594046,0.4595768096426654,0.4656968096426654,-0.007946216865185873,31008.763814496662,52042.760579297865,0.20554715589711142,1.0,1.0,0.05821496081067415
1.84,1.0,1703.9573987399629,1760.0,1625.0,29150.57432586294,30000.0,30350.0,-0.01656520290325868,0.12650469664634156,0.1099394937430829,0.036306362421234764,-0.034819627450884155,0.018016030731855207,-0.0333351763689759,0.1832595714594046,0.45925896096805796,0.465378960968058,-0.007946216865185873,31024.118513047877,52073.25013425976,0.19718147935818497,1.0,1.0,0.056754874813063044
1.8800000000000001,1.0,1704.2447464938161,1760.0,1625.0,29149.44599821139,30000.0,30350.0,-0.01654209470257215,0.12790486193629724,0.11136276723372511,0.034848056490039386,-0.034097777329072536,0.015979589470324133,-0.032805343386438285,0.1832595714594046,0.4589411122934505,0.46506111229345054,-0.007946216865185873,31039.446810517373,52103.68125763962,0.18915912318466782,1.0,1.0,0.055354709523107365
1.92,1.0,1704.5313750018172,1760.0,1625.0,29148.31914821427,30000.0,30350.0,-0.016516294123110908,0.129242840346719,0.11272654622360812,0.03333233739158355,-0.03346353023090347,0.01394323368882893,-0.03236257718004731,0.1832595714594046,0.4586232636188431,0.4647432636188431,-0.007946216865185873,31054.748334511285,52134.054373036575,0.18149307158498879,1.0,1.0,0.054016731112685595
1.96,1.0,1704.8172986666877,1760.0,1625.0,29147.19395606377,30000.0,30350.0,-0.01648793088242942,0.13051656113345841,0.11402863025102901,0.03176401646215777,-0.03291675145378214,0.011911980990057393,-0.03200628093954845,0.1832595714594046,0.45830541494423566,0.46442541494423567,-0.007946216865185873,31070.022799191032,52164.37006244655,0.17419518904916376,1.0,1.0,0.052743010325946194
2.0,1.0,1705.1025332087909,1760.0,1625.0,29146.07059305983,30000.0,30350.0,-0.01645713830533838,0.13172415045853803,0.11526701215319965,0.030147945423759932,-0.03245709317929151,0.009890744224229439,-0.031735655700442095,0.1832595714594046,0.4579875662696282,0.46410756626962824,-0.007946216865185873,31085.270004355938,52194.629061923275,0.16727621187795239,1.0,1.0,0.05153542100086658
2.04,1.0,1705.3870955976047,1760.0,1625.0,29144.94922137035,30000.0,30350.0,-0.016424052929621402,0.13286393235759328,0.11643987942797189,0.02848900371645835,-0.03208399924840836,0.007884321191952386,-0.03154970604110807,0.1832595714594046,0.4576697175950208,0.4637897175950208,-0.007946216865185873,31100.48983415495,52224.832256491405,0.16074574263982522,1.0,1.0,0.05039563910181133
2.08,1.0,1705.6710039767709,1760.0,1625.0,29143.829993818214,30000.0,30350.0,-0.016388814111003697,0.1339344292028146,0.11754561509181091,0.026792085982798825,-0.0317967103675199,0.005897384813132359,-0.031447246165007395,0.1832595714594046,0.45735186892041335,0.46347186892041337,-0.007946216865185873,31115.682255445263,52254.980674356906,0.15461224751850017,1.0,1.0,0.049325142256590015
2.12,1.0,1705.9542775832815,1760.0,1625.0,29142.713053695254,30000.0,30350.0,-0.016351563628361883,0.1349343616690353,0.11858279804067344,0.025062089732882598,-0.031594269724751135,0.0039344737788202105,-0.0314269063460408,0.1832595714594046,0.4570340202458059,0.46315402024580593,-0.007946216865185873,31130.847315817176,52285.075480465,0.1488830565072447,1.0,1.0,0.048325209790369306
2.16,1.0,1706.2369366614084,1760.0,1625.0,29141.59853460302,30000.0,30350.0,-0.016312445290146096,0.1358626482117206,0.11955020292157452,0.023303903217818753,-0.03147552899542679,0.001999983701339232,-0.03148713971460351,0.1832595714594046,0.4567161715711985,0.4628361715711985,-0.007946216865185873,31145.98514130659,52315.11796945909,0.14356436639977893,1.0,1.0,0.04739692324768402
2.2,1.0,1706.5190023720086,1760.0,1625.0,29140.486560320373,30000.0,30350.0,-0.016271604542965536,0.13671840406668062,0.12044679952371512,0.021522393538272806,-0.03143915471487207,9.815877649721992e-05,-0.03162622936140418,0.1832595714594046,0.45639832289659105,0.46251832289659106,-0.007946216865185873,31161.095933817476,52345.10955809787,0.138661246521497,1.0,1.0,0.04654116739272399
2.24,1.0,1706.8004966978606,1760.0,1625.0,29139.37724469767,30000.0,30350.0,-0.016229188083266458,0.13750093978235756,0.12127175169909114,0.019722395013796537,-0.03148363499620339,-0.0017669160298849085,-0.031842295735709056,0.1832595714594046,0.4560804742219836,0.4622004742219836,-0.007946216865185873,31176.179968278873,52375.051777190194,0.13417764713884323,1.0,1.0,0.04575863167704705
