time,controller,downrange,crossrange,altitude,velocity,gamma,heading,bank,bank_cmd,bank_rate,alpha_cmd,qbar,heat_rate,load_factor,energy_height,energy_ref,energy_lower,energy_upper,energy_corridor_margin,lift_to_drag,lift,drag
54.300000000000004,1.0,131205.79327776012,12762.246677846499,32988.25809262318,2390.200178996914,-0.048108455954690904,-0.15343398037567013,-0.35300546036429886,-0.33669369610193783,0.015501969089533607,0.1413018562414609,35823.37696784784,160566.93140456112,2.282978349022495,324273.0952019766,312904.5257227401,294904.5257227401,336904.5257227401,12631.430520763504,6.192899728953043,24627.206589085592,3976.6842136888604
54.400000000000006,1.0,131441.7132286888,12725.722661310607,32976.82046275429,2389.8853521647643,-0.04763848527796838,-0.15375771965268825,-0.35145319209768194,-0.33511984008503126,0.015522682666169185,0.1413018562414609,35870.87838415775,160631.02754824286,2.286005553997636,324184.92906720634,312837.7485753973,294837.7485753973,336837.7485753973,12652.819508190965,6.192899728953043,24659.862002722006,3981.95725460114
54.5,1.0,131677.5955330705,12689.126383966717,32965.49672935141,2389.569587457991,-0.047166800389723436,-0.15408055046657632,-0.34989886948677806,-0.33354410944954077,0.015543226109038799,0.1413018562414609,35917.84515797652,160693.6806923194,2.288998686885357,324096.65840556874,312770.98208391044,294770.98208391044,336770.98208391044,12674.323678341694,6.192899728953043,24692.14987001871,3987.1709458782248
54.6,1.0,131913.44007520887,12652.458101664099,32954.28727729774,2389.252888609323,-0.04669341393587227,-0.15440246178850003,-0.34834250963473445,-0.33196652222910755,0.015563598520436095,0.1413018562414609,35964.273203690995,160754.88550809879,2.291957487314716,324008.28460196994,312704.2262810274,294704.2262810274,336704.2262810274,12695.94167905749,6.192899728953043,24724.067382272344,3992.3248339840525
54.7,1.0,132149.24673970477,12615.71807292767,32943.192488130306,2388.9352594050038,-0.04621833870829428,-0.154723442615611,-0.34678412973324646,-0.3303870965329073,0.01558379901487994,0.1413018562414609,36010.15846863207,160814.6367487776,2.294881697014256,323919.809050792,312637.48119941197,294637.48119941197,336637.48119941197,12717.672148619953,6.192899728953043,24755.611753427333,3997.418469039617
54.800000000000004,1.0,132385.0154114656,12578.906558948509,32932.21274000562,2388.616703684604,-0.045741587644263774,-0.15504348197237405,-0.3452237470613192,-0.32880585054424705,0.015603826719272629,0.1413018562414609,36055.49693381381,160872.9292502875,2.297771059859102,323831.2331558002,312570.74687164096,294570.74687164096,336570.74687164096,12739.51371584076,6.192899728953043,24786.780220583987,4002.4514049050135
54.900000000000006,1.0,132620.74597571464,12542.023823574003,32921.34840766553,2388.2972253408207,-0.04526317382585582,-0.15536256891189693,-0.34366137898401333,-0.3272228025191466,0.015623680773058646,0.1413018562414609,36100.284614669734,160929.7579321315,2.3006253219178907,323742.5583300479,312504.02333020204,294504.02333020204,336504.02333020204,12761.46500015416,6.192899728953043,24817.570044504686,4007.423199261177
55.0,1.0,132856.43831800038,12505.070133297659,32910.59986240322,2387.97682831927,-0.044783110479326135,-0.1556806925172598,-0.34209704295117543,-0.32563797078490786,0.015643360328378986,0.1413018562414609,36144.51756178617,160985.11779821038,2.3034442314995,323653.78599578014,312437.3106074907,294437.3106074907,336437.3106074907,12783.52461171057,6.192899728953043,24847.978510118024,4012.333413691289
55.1,1.0,133092.09232420602,12468.045757248537,32899.96747202945,2387.6555166182757,-0.04430141097446508,-0.15599784190284582,-0.340530756496153,-0.32405137373867066,0.015662864550224365,0.1413018562414609,36188.191861632455,161039.00393763918,2.306227539199589,323564.91758433514,312370.60873580765,294370.60873580765,336370.60873580765,12805.691151472507,6.192899728953043,24878.002927020807,4017.1816137618334
55.2,1.0,133327.70788055885,12430.950967180353,32889.451600838984,2387.3332942886436,-0.043818088823925634,-0.15631400621567293,-0.3389625372344941,-0.3224630298459544,0.015682192616588986,0.1413018562414609,36231.30363728751,161091.41152555263,2.308974997946896,323475.95453604456,312303.91774735635,294303.91774735635,336303.91774735635,12827.963211311784,6.192899728953043,24907.640629977515,4021.9673691032517
55.300000000000004,1.0,133563.28487363973,12393.786037460215,32879.05260957727,2387.010165433433,-0.04333315768252548,-0.15662917463672388,-0.33739240286263217,-0.32087295763918866,0.01570134371861931,0.1413018562414609,36273.84904916291,161142.33582390018,2.311686363049325,323386.89830013143,312237.23767423996,294237.23767423996,336237.23767423996,12850.339374108531,6.192899728953043,24936.88897941743,4026.6902534902174
55.400000000000006,1.0,133798.82319039252,12356.551245057004,32868.770855407296,2386.6861342077177,-0.04284663134652303,-0.15694333638227764,-0.3358203711565562,-0.31928117571623005,0.015720317060759492,0.1413018562414609,36315.82429572196,161191.77218223005,2.314361392239767,323297.7503346066,312170.5685484591,294170.5685484591,336170.5685484591,12872.818213852472,6.192899728953043,24965.74536192892,4031.349844921446
55.5,1.0,134034.3227181337,12319.246869529416,32858.606691876696,2386.361204818339,-0.042358523752867555,-0.15725648070523812,-0.3342464599704662,-0.3176877027388685,0.015739111860900157,0.1413018562414609,36357.22561419479,161239.71603846236,2.316999845721673,323208.5121061637,312103.91040190886,294103.91040190886,336103.91040190886,12895.398295745137,6.192899728953043,24994.207190751087,4035.945725699089
55.6,1.0,134269.78334456185,12281.873193013638,32848.56046888511,2386.0353815236526,-0.04186884897842333,-0.15756859689646419,-0.33267068723541426,-0.3160925574313197,0.01575772735051939,0.1413018562414609,36398.049281288804,161286.16291964988,2.319601486214332,323119.18509007193,312037.26326637616,294037.26326637616,336037.26326637616,12918.078176304232,6.192899728953043,25022.271906262155,4040.477482507594
55.7,1.0,134505.20495776713,12244.430500210685,32838.63253265175,2385.7086686332655,-0.04137762123916785,-0.15787967428609706,-0.3310930709579321,-0.31449575857870704,0.015776162774821523,0.1413018562414609,36438.29161389499,161331.1084427287,2.3221660789978804,323029.77077006764,311970.62717353704,293970.62717353704,335970.62717353704,12940.856403469399,6.192899728953043,25049.93697646502,4044.944706492107
55.800000000000004,1.0,134740.58744624097,12206.91907837337,32828.82322568324,2385.3810705077653,-0.040884854889364164,-0.15818970224488593,-0.32951362921864413,-0.3128973250255326,0.01579441739287979,0.1413018562414609,36477.94896978902,161374.5483152555,2.3246933919579846,322940.2706382437,311904.002154954,293904.002154954,335904.002154954,12963.731516710308,6.192899728953043,25077.199897469243,4049.346993336308
55.900000000000006,1.0,134975.93069888558,12169.339217292949,32819.132886741725,2385.052591558445,-0.040390564420707334,-0.15849867018551267,-0.3279323801708672,-0.311297275674136,0.01581249047776956,0.1413018562414609,36517.01774832757,161416.47833613382,2.327183195630216,322850.6861949384,311837.3882420733,293837.3882420733,335837.3882420733,12986.702047134924,6.192899728953043,25104.05819396976,4053.683943339704
56.0,1.0,135211.23460502355,12131.69120928539,32809.56185081318,2384.7232362470127,-0.03989476446144508,-0.15880656756391343,-0.326349342039197,-0.30969562948314333,0.01583038131670156,0.1413018562414609,36555.494391139284,161456.89439632732,2.3296352632440835,322761.01894862053,311770.78546622215,293770.78546622215,335770.78546622215,13009.766517601616,6.192899728953043,25130.509419721846,4057.9551614943307
56.1,1.0,135446.49905440753,12093.975349177324,32800.11044907605,2384.3930090853028,-0.0393974697754727,-0.15911338388059804,-0.32476453311808157,-0.3080924054659053,0.015848089211154548,0.1413018562414609,36593.37538281039,161495.79247956123,2.3320493707667285,322671.2704157754,311704.19385860616,293704.19385860616,335704.19385860616,13032.923442830739,6.192899728953043,25156.551158012488,4062.1602575608617
56.2,1.0,135681.7239372298,12056.191934291623,32790.77900887014,2384.061914634971,-0.03889869526140222,-0.15941910868196585,-0.3231779717703813,-0.3064876226889257,0.015865613477002438,0.1413018562414609,36630.65725156436,161533.16866301023,2.3344252969462396,322581.4421207872,311637.6134503063,293637.6134503063,335637.6134503063,13056.171329519071,6.192899728953043,25182.18102212762,4066.2988461440596
56.300000000000004,1.0,135916.90914413193,12018.341264432645,32781.56785366579,2383.7299575071866,-0.038398455951606014,-0.1597237315616189,-0.3215896764259173,-0.30488130027028015,0.015882953444640302,0.1413018562414609,36667.336569935964,161569.01911797427,2.3367628233546083,322491.5355958211,311571.0442722765,293571.0442722765,335571.0442722765,13079.508676455414,6.192899728953043,25207.39665581551,4070.3705467675977
56.400000000000006,1.0,136152.05456621438,11980.423641871148,32772.477303033316,2383.397142362315,-0.037896767011234775,-0.16002724216167286,-0.3199996655800065,-0.303273457378023,0.015900108459108164,0.1413018562414609,36703.409955438896,161603.34011054022,2.339061734430274,322401.5523807026,311504.4863553408,293504.4863553408,335504.4863553408,13102.933974638232,6.192899728953043,25232.195733745706,4074.3749839481734
