time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,qbar
36.14,2314.86303996036,1830,28098.5954393043,29100,-0.0107165574985673,0.0747584107117609,0.0640418532131934,0.00145462172989996,-0.0418731931068705,7.24061895373969e-07,-0.0418731312836132,0.0939863632341829,66265.3602009957
36.16,2314.88511487516,1830,28098.0999734448,29100,-0.0106874267117663,0.0747583732860632,0.0640709465742968,0.00145471442408844,-0.0418731780510486,7.53462052589813e-07,-0.0418731139849374,0.0937161057311646,66271.1843167137
36.18,2314.90693125726,1830,28097.6058515385,29100,-0.0106582945271473,0.074758336318735,0.0641000417915874,0.0014548073427878,-0.0418731624046083,7.8222045826235e-07,-0.0418730961502482,0.0934471962451286,66276.981757138
36.2,2314.92849036507,1830,28097.113073731,29100,-0.0106291609455274,0.0747582998147273,0.0641291388691997,0.00145490045047228,-0.0418731461808791,8.10312360559098e-07,-0.0418730777946286,0.0931796310929937,66282.7525863191
36.22,2314.94979345352,1830,28096.621640167,29100,-0.0106000259677364,0.0747582637782985,0.0641582378105619,0.00145499371207634,-0.0418731293936775,8.37714472660797e-07,-0.0418730589335323,0.092913406600223,66288.4968681671
36.24,2314.97084177415,1830,28096.1315509907,29100,-0.0105708895946182,0.0747582282130242,0.0641873386184058,0.00145508709303092,-0.0418731120572768,8.64404971471872e-07,-0.0418730395827542,0.0926485191008036,66294.2146664523
36.26,2314.99163657508,1830,28095.6428063454,29100,-0.0105417518270313,0.0747581931218087,0.0642164412947772,0.00145518055929816,-0.0418730941863777,8.90363493853668e-07,-0.0418730197584011,0.0923849649372345,66299.9060448047
36.28,2315.01217910102,1830,28095.1554063737,29100,-0.0105126126658499,0.0747581585068968,0.0642455458410467,0.00145527407740472,-0.0418730757960785,9.15571131545814e-07,-0.0418729994768632,0.0921227404605194,66305.5710667147
36.3,2315.03247059327,1830,28094.6693512174,29100,-0.0104834721119646,0.0747581243698861,0.0642746522579213,0.00145536761447339,-0.0418730569018458,9.40010423359688e-07,-0.041872978754785,0.0918618420301451,66311.209795533
36.32,2315.05251228975,1830,28094.1846410176,29100,-0.0104543301662833,0.0747580907117403,0.0643037605454568,0.00145546113825337,-0.041873037519485,9.63665346312109e-07,-0.0418729576090373,0.0916022660140734,66316.8222944709
36.34,2315.072305425,1830,28093.7012759146,29100,-0.010425186829732,0.0747580575328024,0.0643328707030702,0.00145555461714885,-0.0418730176651111,9.8652130494983e-07,-0.0418729360566889,0.0913440087887311,66322.4086266004
36.36,2315.09185123019,1830,28093.2192560482,29100,-0.0103960421032556,0.0747580248328094,0.0643619827295537,0.0014556480202461,-0.0418729973551201,1.00856511841675e-06,-0.0418729141149791,0.0910870667389883,66327.9688548544
36.38,2315.1111509331,1830,28092.7385815572,29100,-0.0103668959878185,0.0747579926109067,0.064391096623088,0.00145574131733907,-0.0418729766061602,1.02978500635268e-06,-0.0418728918012905,0.0908314362581515,66333.503042027
36.4,2315.13020575817,1830,28092.2592525797,29100,-0.0103377484844056,0.0747579608656629,0.0644202123812571,0.00145583447895331,-0.0418729554351035,1.05017057310174e-06,-0.041872869133122,0.0905771137479519,66339.0112507733
36.42,2315.14901692648,1830,28091.7812692532,29100,-0.0103085995940228,0.074757929595086,0.0644493300010631,0.0014559274763685,-0.041872933859018,1.06971279021867e-06,-0.0418728461280628,0.0903240956185216,66344.49354361
36.44,2315.16758565579,1830,28091.3046317144,29100,-0.0102794493176978,0.0747578987966391,0.0644784494789411,0.00145602028163929,-0.0418729118951401,1.08840397759204e-06,-0.0418728228037661,0.0900723782883951,66349.9499829155
36.46,2315.18591316049,1830,28090.8293400993,29100,-0.0102502976564807,0.0747578684672565,0.0645075708107756,0.00145611286761473,-0.0418728895608476,1.10623778333788e-06,-0.041872799177924,0.0898219581844851,66355.3806309296
